,system_calls,car_counts,body_counts,mariadb_counts,mysql_counts,postgres_counts,sysbench_counts
49,procexit,15,15,64,113,20,348
50,prlimit,2,2,38,42,0,518
51,pread,56,56,1112,3806,792,1960
52,prctl,0,0,24,314,40,526
53,ppoll,0,0,0,17642,0,0
54,poll,0,0,35593,9,0,12
55,pipe2,2,2,36,4,0,440
56,pipe,0,0,0,28,0,0
57,openat,9328,7232,6452,5486,640,9940
58,newfstatat,11648,9562,9534,0,174,22396
59,nanosleep,0,0,0,173224,0,0
60,munmap,78,76,478,558,46,912
61,mremap,0,0,0,0,0,68
62,mprotect,244,420,470,15710,0,4524
63,mmap,788,786,1830,1664,136,14028
64,mkdirat,0,0,0,0,0,24
65,mkdir,0,0,0,4,0,86
66,mbind,7,7,0,0,0,0
67,madvise,14,14,622,178,0,2
68,lstat,0,0,0,870,0,0
69,lseek,7090,6830,184,932,662,5192
70,listen,2,2,8,12,0,0
71,link,0,0,0,0,0,4
72,lchown,0,0,0,0,0,154
73,kill,0,0,2,0,212,18
74,ioctl,440,440,46,24,0,2562
75,io_submit,0,0,0,4098,0,0
76,io_setup,0,0,0,40,0,0
77,io_getevents,0,0,0,25125,0,0
78,getuid,2,2,112,130,0,338
79,gettid,2,2,474,202,0,0
80,getsockopt,0,0,0,0,0,14
81,getsockname,2,2,12,0,0,46
82,getrusage,0,0,0,1142,28,0
83,getresuid,0,0,0,0,0,10
84,getresgid,0,0,0,0,0,10
85,getrandom,12,12,36,48,40,508
86,getpriority,0,0,0,4,0,0
87,getppid,0,0,0,2,0,40
88,getpid,12,12,162,314,182,120
89,getpgrp,0,0,0,2,0,0
90,getgroups,0,0,0,2,0,4
91,getgid,2,2,112,130,0,120
92,geteuid,2,2,116,144,0,260
93,getegid,2,2,112,130,0,106
94,getdents64,132,136,348,412,16,1068
95,getcwd,4,4,110,742,0,4
96,futex,86848,42790,17255,455838,48,125
97,ftruncate,0,0,0,8,0,220
98,fsync,0,0,0,3417,42,530
99,fstatfs,0,0,0,0,0,40
100,fstat,12,12,0,4504,0,0
101,fsetxattr,0,0,0,0,0,8
102,flock,0,0,0,0,0,6
103,flistxattr,0,0,0,0,0,16
104,fgetxattr,0,0,0,0,0,8
105,fdatasync,0,0,911,36,36,2
106,fcntl,4,4,198,432,0,2750
107,fchownat,0,0,0,0,0,24
108,fchown,0,0,0,0,0,252
109,fchmodat,0,0,0,0,0,8
110,fchmod,0,0,0,0,0,310
111,fchdir,0,0,16,0,0,8
112,fallocate,0,0,4,226,0,0
113,fadvise64,0,0,0,18,256,32
114,faccessat2,0,0,8,2,0,64
115,faccessat,0,0,0,24,20,0
116,exit_group,1,1,0,89,0,343
117,exit,7,7,27,0,0,1
118,execveat,0,0,37,34,0,0
119,execve,2,2,0,0,0,612
120,execv,0,0,34,4,0,0
121,eventfd,0,0,0,4197,2346,0
122,epoll_pwait,0,0,0,14,80,0
123,epoll_ctl,0,0,0,4,40,0
124,epoll_create1,2,2,0,0,0,0
125,epoll_create,0,0,0,4,0,0
126,dup3,0,0,0,58,0,0
127,dup2,0,0,4,34,0,716
128,dup,6,6,76,0,0,8
129,dma_memcpy,0,0,8,0,0,0
130,copy_file_range,0,0,0,42,0,0
131,connect,0,0,0,0,0,252
132,cmpxchg_badaddr,0,0,34,5338,504,0
133,close,9028,6932,0,0,0,11780
134,clone3,14,14,5964,351,60,4
135,clone2,0,0,21,0,0,0
136,clone,45,45,0,0,0,921
137,clock_settime,0,0,123,116,0,0
138,clock_gettime,0,0,18,0,0,0
139,chown,0,0,0,6,0,58
140,chmod,0,0,0,0,0,168
141,chdir,0,0,0,4,0,48
142,capset,0,0,4,0,0,0
143,capget,0,0,0,2380,260,0
144,brk,2116,2738,0,0,0,2196
145,breakpoint,0,0,356,0,0,0
146,break,0,0,0,12,0,0
147,bind,2,2,0,0,0,12
148,bfin_spinlock,0,0,18,0,0,0
149,arm_fadvise64_64,0,0,0,68,0,0
150,arch_prctl,4,4,0,0,0,984
151,arc_usr_cmpxchg,0,0,68,0,0,0
152,alarm,0,0,0,0,0,10
153,add_key,0,0,0,252,40,0
154,access,2,2,0,6,0,698
155,accept4,2,2,356,0,0,0
156,accept,0,0,60,0,0,0
